Mona Lisa;Leonardo da Vinci;150.0;250.0;96.0;143.1;3.0;circa 1503-1506;Musée du Louvre;
The Starry Night;Vincent van Gogh;190.0;230.0;96.0;76.0;4.5;year;location;
The Scream;Edvard Munch;150.0;250.0;90.0;113.5;3.0;year;location;
The Night Watch;Rembrandt;0;0;0;0;0;year;location;
The Kiss;painter;0;0;0;0;0;year;location;
The Arnolfini Portrait;painter;0;0;0;0;0;year;location;
The Girl With A Pearl Earring;painter;0;0;0;0;0;year;location;
Impression Sunrise;painter;0;0;0;0;0;year;location;
Las Meninas;painter;0;0;0;0;0;year;location;
The Creation Of Adam;painter;0;0;0;0;0;year;location;
Luncheon Of The Boating Party;painter;0;0;0;0;0;year;location;
The Grand Odalisque;painter;0;0;0;0;0;year;location;
The Swing;painter;0;0;0;0;0;year;location;
The Liberty Leading The People;painter;0;0;0;0;0;year;location;
The Birth Of Venus;painter;0;0;0;0;0;year;location;
Napoleon Crossing The Alps;painter;0;0;0;0;0;year;location;
Musicians;painter;0;0;0;0;0;year;location;
American Gothic;painter;0;0;0;0;0;year;location;
Sunday Afternoon On The Island Of La Grande Jatte;painter;0;0;0;0;0;year;location;
The Sleeping Gypsy;painter;0;0;0;0;0;year;location;
The Triumph Of Galatea;painter;0;0;0;0;0;year;location;
The Gleaners;painter;0;0;0;0;0;year;location;
Primavera;painter;0;0;0;0;0;year;location;
The Third Of May 1808;painter;0;0;0;0;0;year;location;
Charles I In Three Positions;painter;0;0;0;0;0;year;location;
The Wanderer Above The Sea Of Fog;painter;0;0;0;0;0;year;location;
Olympia;painter;0;0;0;0;0;year;location;
The Tower Of Babel;painter;0;0;0;0;0;year;location;
View Of Toledo;painter;0;0;0;0;0;year;location;
A Cotton Office In New Orleans;painter;0;0;0;0;0;year;location;
Bacchus And Ariadne;painter;0;0;0;0;0;year;location;
The Sleepers;painter;0;0;0;0;0;year;location;
The Gross Clinic;painter;0;0;0;0;0;year;location;
The Ninth Wave;painter;0;0;0;0;0;year;location;
The Last Supper;painter;0;0;0;0;0;year;location;
St. George And The Dragon;painter;0;0;0;0;0;year;location;
Mr And Mrs Robert Andrews;painter;0;0;0;0;0;year;location;
Pollice Verso;painter;0;0;0;0;0;year;location;
Pilgrimage To Cythera;painter;0;0;0;0;0;year;location;
Large Bathers;painter;0;0;0;0;0;year;location;
The Astronomer;painter;0;0;0;0;0;year;location;
Wave;painter;0;0;0;0;0;year;location;
The Fall Of The Damned;painter;0;0;0;0;0;year;location;
A Bar At The Folies Bergere;painter;0;0;0;0;0;year;location;
The Storm On The Sea Of Galilee;painter;0;0;0;0;0;year;location;
The Laughing Cavalier;painter;0;0;0;0;0;year;location;
Paris Street In Rainy Weather;painter;0;0;0;0;0;year;location;
Foxes;painter;0;0;0;0;0;year;location;
The Lady With The Ermine;painter;0;0;0;0;0;year;location;
Watson And The Shark;painter;0;0;0;0;0;year;location;
The Ladies Waldegrave;painter;0;0;0;0;0;year;location;
Whistler's Mother;painter;0;0;0;0;0;year;location;
Dance At The Moulin De La Galette;painter;0;0;0;0;0;year;location;
Breezing Up;painter;0;0;0;0;0;year;location;
The Great Wave Off Kanagawa;painter;0;0;0;0;0;year;location;
Large Seated Nude;painter;0;0;0;0;0;year;location;
Stag Night At Sharkeys;painter;0;0;0;0;0;year;location;
The Night Cafe;painter;0;0;0;0;0;year;location;
The Avenue In The Rain;painter;0;0;0;0;0;year;location;
Annunciation;painter;0;0;0;0;0;year;location;
The Ambassadors;painter;0;0;0;0;0;year;location;
Flaming June;painter;0;0;0;0;0;year;location;
Susanna And The Elders;painter;0;0;0;0;0;year;location;
Composition VIII;painter;0;0;0;0;0;year;location;
The Oath Of Horatii;painter;0;0;0;0;0;year;location;
A Friend In Need;painter;0;0;0;0;0;year;location;
Dante And Virgil In Hell;painter;0;0;0;0;0;year;location;
Saturn Devouring His Son;painter;0;0;0;0;0;year;location;
Battle Of Issus;painter;0;0;0;0;0;year;location;
The Potato Eaters;painter;0;0;0;0;0;year;location;
The Birth Of Venus;painter;0;0;0;0;0;year;location;
Mars And Venus Allegory Of Peace;painter;0;0;0;0;0;year;location;
Red Balloon;painter;0;0;0;0;0;year;location;
The Lady Of Shalott;painter;0;0;0;0;0;year;location;
Portrait Of A Gentleman Skating;painter;0;0;0;0;0;year;location;
The Hay Wain;painter;0;0;0;0;0;year;location;
The Boat Trip;painter;0;0;0;0;0;year;location;
Sleeping Venus;painter;0;0;0;0;0;year;location;
Adoration Of The Magi;painter;0;0;0;0;0;year;location;
Portrait Of A Young Man;painter;0;0;0;0;0;year;location;
Boulevard Montmartre Spring;painter;0;0;0;0;0;year;location;
The Wedding At Cana;painter;0;0;0;0;0;year;location;
The Anatomy Lesson Of Dr. Nicolaes Tulp;painter;0;0;0;0;0;year;location;
The Raft Of The Medusa;painter;0;0;0;0;0;year;location;
The Kiss;painter;0;0;0;0;0;year;location;
The Bath;painter;0;0;0;0;0;year;location;
Fort Vimieux;painter;0;0;0;0;0;year;location;
The Japanese Bridge;painter;0;0;0;0;0;year;location;
Washington Crossing The Delaware;painter;0;0;0;0;0;year;location;
The Garden Of Earthly Delights;painter;0;0;0;0;0;year;location;
Supper At Emmaus;painter;0;0;0;0;0;year;location;
Feast Of The Rosary;painter;0;0;0;0;0;year;location;
The Hireling Shepherd;painter;0;0;0;0;0;year;location;
Hunters In The Snow;painter;0;0;0;0;0;year;location;
The Seed Of Areoi;painter;0;0;0;0;0;year;location;
Barge Haulers On The Volga;painter;0;0;0;0;0;year;location;
Odalisque;painter;0;0;0;0;0;year;location;
Cardsharps;painter;0;0;0;0;0;year;location;
The Pont Du Gard;painter;0;0;0;0;0;year;location;
The Luncheon On The Grass;painter;0;0;0;0;0;year;location;
